Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Siak Kew Avenue,3,21/01/2019,1.3303284,103.8720498,Toa Payoh,0.6,0.4,0.6,0.6,—,—,—,—,—
Siang Kuang Avenue,2,21/01/2019,1.3296533,103.8720674,Toa Payoh,0.6,0.4,0.6,0.6,—,—,—,—,—
Tampines Street 32 (Blk 301),1,21/01/2019,1.3533820,103.9555056,Simei,0,0,0,0,—,—,—,—,—
Tampines Street 32 (Blk 308),2,21/01/2019,1.3529348,103.9568655,Simei,0,0,0,0,—,—,—,—,—
Tampines Street 33 (Blk 312),2,21/01/2019,1.3527868,103.9571374,Simei,0,0,0,0,—,—,—,—,—
Tampines Street 33 (Blk 316),2,21/01/2019,1.3516846,103.9578627,Simei,0,0,0,0,—,—,—,—,—
Woodlands Avenue 6 (Blk 759),3,21/01/2019,1.4464231,103.7952282,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Avenue 6 (Blk 763),2,21/01/2019,1.4454637,103.7960431,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Circle (Blk 734),1,21/01/2019,1.4439831,103.7980353,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Circle (Blk 741),1,21/01/2019,1.4443636,103.7958620,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Circle (Blk 742),1,21/01/2019,1.4439226,103.7959526,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Simei Street 4 (Blk 222),1,21/01/2019,1.3415715,103.9569788,Simei,0,0,0,0,—,—,—,—,—
Simei Street 4 (Blk 223),2,21/01/2019,1.3422443,103.9576814,Simei,0,0,0,0,—,—,—,—,—
Simei Street 4 (Blk 225),1,21/01/2019,1.3423933,103.9572281,Simei,0,0,0,0,—,—,—,—,—
Simei Street 4 (Simei Green Condominium),2,21/01/2019,1.3409501,103.9579852,Simei,0,0,0,0,—,—,—,—,—
Sunbird Circle,1,21/01/2019,1.3391852,103.9576992,Simei,0,0,0,0,—,—,—,—,—
Jalan Eunos (Eunos Mansions),3,21/01/2019,1.3298667,103.9056122,Chai Chee,6,6,6,6,—,—,—,—,—
Jalan Tenaga (Blk 647),1,21/01/2019,1.3317755,103.9057765,Chai Chee,6,6,6,6,—,—,—,—,—
Jalan Tenaga (Blk 648),1,21/01/2019,1.3321310,103.9058750,Chai Chee,6,6,6,6,—,—,—,—,—
Mergui Road (Mergui Mansions),3,21/01/2019,1.3173131,103.8517873,Whampoa,1.4,0.8,1.4,1.4,—,—,—,—,—
Mergui Road (Pristine Heights),3,21/01/2019,1.3170939,103.8519834,Whampoa,1.4,0.8,1.4,1.4,—,—,—,—,—
Yishun Avenue 4 (Blk 861),1,21/01/2019,1.4173841,103.8396956,Khatib,0,0,0,0,28.4,32.7,25.7,13.3,39.2
Yishun Avenue 4 (Blk 862),3,21/01/2019,1.4171663,103.8393332,Khatib,0,0,0,0,28.4,32.7,25.7,13.3,39.2
Yishun Avenue 4 (Blk 863),1,21/01/2019,1.4170650,103.8384070,Khatib,0,0,0,0,28.4,32.7,25.7,13.3,39.2
Yishun Street 61 (Blk 634),1,21/01/2019,1.4189945,103.8392812,Khatib,0,0,0,0,28.4,32.7,25.7,13.3,39.2
Tanah Merah Kechil Avenue (Casa Merah),3,21/01/2019,1.3291018,103.9461887,Simei,0,0,0,0,—,—,—,—,—
Tanah Merah Kechil Avenue (D' Manor),2,21/01/2019,1.3293843,103.9463352,Simei,0,0,0,0,—,—,—,—,—
Aljunied Crescent (Blk 99),3,21/01/2019,1.3214068,103.8844057,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Aljunied Crescent (Blk 101),1,21/01/2019,1.3209727,103.8834996,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Sembawang Close (Blk 334),1,21/01/2019,1.4477627,103.8159657,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Sembawang Close (Blk 339B),1,21/01/2019,1.4479549,103.8175280,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Bedok Reservoir Road (Blk 106),1,21/01/2019,1.3294979,103.9094598,Chai Chee,6,6,6,6,—,—,—,—,—
Bedok Reservoir Road (Blk 108),1,21/01/2019,1.3302301,103.9093692,Chai Chee,6,6,6,6,—,—,—,—,—
Bedok Reservoir Road (Blk 110),1,21/01/2019,1.3301512,103.9103661,Chai Chee,6,6,6,6,—,—,—,—,—
Cashew Road (Cashew Park Condominium),2,21/01/2019,1.3713709,103.7676590,Bukit Panjang,1.2,1.2,1.2,1.2,—,—,—,—,—
Chestnut Gardens,1,21/01/2019,1.3691931,103.7685616,Bukit Panjang,1.2,1.2,1.2,1.2,—,—,—,—,—
Jalan Ishak,2,21/01/2019,1.3250147,103.9078138,Chai Chee,6,6,6,6,—,—,—,—,—
Lorong Salleh,1,21/01/2019,1.3236672,103.9068660,Chai Chee,6,6,6,6,—,—,—,—,—
Lorong 33 Geylang (Sims Meadows),1,21/01/2019,1.3160924,103.8880142,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Lorong 34 Geylang,1,21/01/2019,1.3131745,103.8878343,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Lorong 38 Geylang (The Water Edge),1,21/01/2019,1.3137914,103.8887428,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Pasir Ris Rise (Sea Horizon),3,21/01/2019,1.3760740,103.9586469,Pasir Ris (Central),2.2,2,2,2.2,—,—,—,—,—
Pasir Ris Street 51 (Blk 565),3,21/01/2019,1.3689528,103.9502703,Pasir Ris (Central),2.2,2,2,2.2,—,—,—,—,—
Simei Street 2 (Blk 146),2,21/01/2019,1.3445840,103.9558937,Simei,0,0,0,0,—,—,—,—,—
Simei Street 5 (Blk 246),1,21/01/2019,1.3450275,103.9541684,Simei,0,0,0,0,—,—,—,—,—
Tah Ching Road (Blk 327),1,21/01/2019,1.3362832,103.7226268,Jurong (North),—,—,—,—,—,—,—,—,—
Teban Gardens Road (Blk 32),1,21/01/2019,1.3218253,103.7400945,Jurong (North),—,—,—,—,—,—,—,—,—
Teban Gardens Road (Blk 60),1,21/01/2019,1.3226974,103.7386224,Jurong (North),—,—,—,—,—,—,—,—,—
Teban Gardens Road (Blk 65),1,21/01/2019,1.3219768,103.7391894,Jurong (North),—,—,—,—,—,—,—,—,—
Woodlands Street 82 (Blk 821),1,21/01/2019,1.4408892,103.7900872,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Street 82 (Blk 848),1,21/01/2019,1.4418184,103.7919684,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Woodlands Street 83 (Blk 866),1,21/01/2019,1.4416677,103.7926023,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Akyab Road (Pavilion 11),1,21/01/2019,1.3241036,103.8487218,Whampoa,1.4,0.8,1.4,1.4,—,—,—,—,—
Prome Road,1,21/01/2019,1.3249562,103.8492423,Whampoa,1.4,0.8,1.4,1.4,—,—,—,—,—
Chun Tin Road,1,21/01/2019,1.3419378,103.7738584,Clementi,0,0,0,0,27.9,32.7,25.5,6.1,31
Yuk Tong Avenue,1,21/01/2019,1.3447663,103.7728106,Clementi,0,0,0,0,27.9,32.7,25.5,6.1,31
Elias Road (Blk 604),1,21/01/2019,1.3762998,103.9432675,Pasir Ris (Central),2.2,2,2,2.2,—,—,—,—,—
Elias Road (Oasis @ Elias),1,21/01/2019,1.3776674,103.9417030,Pasir Ris (Central),2.2,2,2,2.2,—,—,—,—,—
Gangsa Road (Blk 106),1,21/01/2019,1.3779831,103.7674096,Bukit Panjang,1.2,1.2,1.2,1.2,—,—,—,—,—
Hougang Avenue 4 (Blk 605),1,21/01/2019,1.3709238,103.8864427,Buangkok,3.2,3,3,3.2,—,—,—,—,—
Hougang Avenue 4 (Blk 607),1,21/01/2019,1.3701923,103.8862615,Buangkok,3.2,3,3,3.2,—,—,—,—,—
Marine Parade Road (Laguna Park),2,21/01/2019,1.3090605,103.9293002,East Coast Parkway,0.2,0.2,0.2,0.2,28.1,30.5,26.7,17.3,52.9
Pasir Ris Street 21 (Blk 230),2,21/01/2019,1.3727523,103.9609451,Pasir Ris (Central),2.2,2,2,2.2,—,—,—,—,—
Paya Lebar Way (Blk 120),1,21/01/2019,1.3226178,103.8842681,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Paya Lebar Way (Blk 123),1,21/01/2019,1.3229161,103.8832714,Marine Parade,10.2,10.2,10.2,10.2,—,—,—,—,—
Punggol Drive (Blk 677C),1,21/01/2019,1.4057491,103.9098490,Punggol,0.4,0.2,0.4,0.4,—,—,—,—,—
Punggol Drive (Blk 679C),1,21/01/2019,1.4064229,103.9087575,Punggol,0.4,0.2,0.4,0.4,—,—,—,—,—
Woodlands Avenue 1 (Blk 571C),2,21/01/2019,1.4303700,103.7899260,Admiralty,2.8,2.6,2.6,2.8,27.7,31.8,25.5,14.8,45
Bedok Reservoir Road (Blk 122),1,25/01/2019,1.3320522,103.9106380,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 124),1,25/01/2019,1.3327139,103.9100942,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 127),1,25/01/2019,1.3328670,103.9111830,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 128),8,25/01/2019,1.3334379,103.9114536,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 129),1,25/01/2019,1.3340360,103.9122180,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 130),5,25/01/2019,1.3335058,103.9123599,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 132),3,25/01/2019,1.3329230,103.9119068,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 134),3,25/01/2019,1.3329178,103.9128130,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 135),4,25/01/2019,1.3331404,103.9122693,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 136),15,25/01/2019,1.3335538,103.9135607,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 137),5,25/01/2019,1.3337227,103.9128130,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 138),2,25/01/2019,1.3345261,103.9130849,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 139),11,25/01/2019,1.3345066,103.9137344,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 140),4,25/01/2019,1.3348915,103.9131756,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 141),5,25/01/2019,1.3355470,103.9137193,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 144),3,25/01/2019,1.3351152,103.9124505,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 145),2,25/01/2019,1.3343129,103.9119974,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 146),9,25/01/2019,1.3346066,103.9118161,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 147),4,25/01/2019,1.3349004,103.9116349,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 148),3,25/01/2019,1.3353932,103.9118388,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 149),1,25/01/2019,1.3356275,103.9124505,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 150),5,25/01/2019,1.3360666,103.9124505,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 151),2,25/01/2019,1.3357781,103.9117255,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 608),1,25/01/2019,1.3318917,103.9130849,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 613),1,25/01/2019,1.3319589,103.9166817,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 613A),3,25/01/2019,1.3328525,103.9174042,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 613B),1,25/01/2019,1.3331070,103.9180696,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 615),1,25/01/2019,1.3322067,103.9155772,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 622),1,25/01/2019,1.3340662,103.9167101,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 623),1,25/01/2019,1.3336266,103.9168007,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 626),1,25/01/2019,1.3344378,103.9157132,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 627),4,25/01/2019,1.3340729,103.9155319,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Reservoir Road (Blk 631),3,25/01/2019,1.3334378,103.9149165,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Avenue 1,7,25/01/2019,1.3347731,103.9077134,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Eastwood Drive,25,25/01/2019,1.3233243,103.9557363,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Green,7,25/01/2019,1.3222849,103.9548450,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Place,1,25/01/2019,1.3221148,103.9562737,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Road,3,25/01/2019,1.3213954,103.9560475,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Terrace,4,25/01/2019,1.3218063,103.9569024,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Walk,2,25/01/2019,1.3224900,103.9567508,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Way,9,25/01/2019,1.3229592,103.9573462,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Eastwood Road (Eastwood Centre),2,25/01/2019,1.3215890,103.9554603,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Jalan Greja,5,25/01/2019,1.3237034,103.9550755,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Pesari Walk,1,25/01/2019,1.3245905,103.9542040,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Taman Bedok,1,25/01/2019,1.3247113,103.9541043,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Kaki Bukit Avenue 2,1,25/01/2019,1.3365939,103.9009088,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Avenue 3,1,25/01/2019,1.3373461,103.9088085,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Industrial Terrace,25,25/01/2019,1.3357532,103.9021851,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Place,2,25/01/2019,1.3352173,103.9036946,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Road 2,1,25/01/2019,1.3364867,103.8997544,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Kaki Bukit Road 3,4,25/01/2019,1.3366588,103.9041606,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Hougang Avenue 5 (Blk 305),1,25/01/2019,1.3670520,103.8947160,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 308),3,25/01/2019,1.3669122,103.8959572,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 310),10,25/01/2019,1.3663252,103.8961384,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 320),2,25/01/2019,1.3663790,103.8981550,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 322),1,25/01/2019,1.3670512,103.8972259,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 324),1,25/01/2019,1.3675124,103.8974855,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 7 (Blk 316),2,25/01/2019,1.3650053,103.8964103,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 7 (Blk 325),2,25/01/2019,1.3675372,103.8986531,Buangkok,0,0,0,0,—,—,—,—,—
Cashew Road (Cashew Heights),7,25/01/2019,1.3718515,103.7677710,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Gangsa Road (Blk 146),1,25/01/2019,1.3755348,103.7661874,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Gangsa Road (Blk 153),6,25/01/2019,1.3750816,103.7653500,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Gangsa Road (Blk 154),2,25/01/2019,1.3748817,103.7650558,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Gangsa Road (Blk 155),1,25/01/2019,1.3753213,103.7651011,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Gangsa Road (Blk 163),1,25/01/2019,1.3762961,103.7644900,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Hazel Park Terrace (Hazel Park Condominium),3,25/01/2019,1.3717218,103.7642820,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Petir Road (Maysprings),1,25/01/2019,1.3774048,103.7633104,Bukit Panjang,3.2,3.2,3.2,3.2,—,—,—,—,—
Barbary Walk,1,25/01/2019,1.2904185,103.8055399,Queenstown,0,0,0,0,—,—,—,—,—
Queensway (Blk 168A),3,25/01/2019,1.2889285,103.8035364,Pasir Panjang,0.4,0.4,0.4,0.4,27.4,29.9,25.8,16.6,43.2
Stirling Road,2,25/01/2019,1.2953328,103.8043994,Queenstown,0,0,0,0,—,—,—,—,—
Stirling Road (Blk 170),1,25/01/2019,1.2909829,103.8031003,Queenstown,0,0,0,0,—,—,—,—,—
Stirling Road (Blk 171),1,25/01/2019,1.2906819,103.8038534,Queenstown,0,0,0,0,—,—,—,—,—
Alexandra Road,1,25/01/2019,1.2883283,103.8054570,Pasir Panjang,0.4,0.4,0.4,0.4,27.4,29.9,25.8,16.6,43.2
Changi Road,2,25/01/2019,1.3182725,103.9085841,Tanjong Katong,0,0,0,0,—,—,—,—,—
Jalan Kembangan,1,25/01/2019,1.3229561,103.9135494,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Lapang,4,25/01/2019,1.3228533,103.9165664,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Sayang,4,25/01/2019,1.3217141,103.9151403,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Selamat,4,25/01/2019,1.3250068,103.9154903,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Senang,3,25/01/2019,1.3251828,103.9162698,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Sentosa,1,25/01/2019,1.3229507,103.9173352,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Senyum,1,25/01/2019,1.3222960,103.9144186,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Waringin,1,25/01/2019,1.3230531,103.9181275,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Hougang Avenue 6 (Blk 524),3,25/01/2019,1.3741405,103.8906336,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 525),2,25/01/2019,1.3748506,103.8913358,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 527),5,25/01/2019,1.3748555,103.8905203,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 529),4,25/01/2019,1.3755870,103.8907015,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 530),1,25/01/2019,1.3752792,103.8900899,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 531),3,25/01/2019,1.3758094,103.8902484,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 532),1,25/01/2019,1.3760982,103.8909734,Buangkok,0,0,0,0,—,—,—,—,—
Yishun Avenue 4 (Blk 508B),3,25/01/2019,1.4142876,103.8393106,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Avenue 4 (Blk 509A),1,25/01/2019,1.4137179,103.8395144,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 81 (Blk 852),1,25/01/2019,1.4160076,103.8368876,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 81 (Blk 865),1,25/01/2019,1.4141640,103.8385180,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 81 (Blk 866),3,25/01/2019,1.4145933,103.8372726,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 81 (Blk 867),5,25/01/2019,1.4140957,103.8377028,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 81 (Blk 868),4,25/01/2019,1.4137295,103.8376122,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Bedok Avenue,4,25/01/2019,1.3217159,103.9527354,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Bedok Garden,2,25/01/2019,1.3212080,103.9274140,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Bedok Road,1,25/01/2019,1.3264714,103.9512968,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Bedok Road (Country Park Condominium),1,25/01/2019,1.3213921,103.9547724,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Jalan Bilal,1,25/01/2019,1.3221740,103.9540573,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Jalan Kathi,3,25/01/2019,1.3233653,103.9522998,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Minaret Walk,1,25/01/2019,1.3246282,103.9522074,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper East Coast Road,2,25/01/2019,1.3148748,103.9402579,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Upper East Coast Road (Bagnall Court),1,25/01/2019,1.3204301,103.9547620,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Bedok Reservoir Road (Blk 117),1,25/01/2019,1.3314046,103.9087348,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Damai (Blk 664),1,25/01/2019,1.3342575,103.9089161,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Damai (Blk 665),1,25/01/2019,1.3341158,103.9081004,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Damai (Blk 667),2,25/01/2019,1.3338199,103.9086442,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Tenaga (Blk 649),3,25/01/2019,1.3323350,103.9060226,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Tenaga (Blk 651),1,25/01/2019,1.3322173,103.9073754,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Tenaga (Blk 652),1,25/01/2019,1.3326533,103.9079192,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Tenaga (Blk 658),2,25/01/2019,1.3336872,103.9062880,Chai Chee,0.4,0.4,0.4,0.4,—,—,—,—,—
Jalan Kuang,1,25/01/2019,1.3469083,103.9611174,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Jalan Pelatok,1,25/01/2019,1.3461166,103.9612975,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Jalan Pergam,3,25/01/2019,1.3444372,103.9615256,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Simei Rise (Savannah Condopark),2,25/01/2019,1.3491023,103.9619710,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Changi Road East,3,25/01/2019,1.3374077,103.9595225,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Upp Changi Road East (Sunhaven),4,25/01/2019,1.3477608,103.9628637,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Woodlands Crescent (Blk 776),1,25/01/2019,1.4477849,103.8000766,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Crescent (Blk 777),2,25/01/2019,1.4480107,103.7996652,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Crescent (Blk 780A),1,25/01/2019,1.4483150,103.8009103,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Crescent (Blk 780F),1,25/01/2019,1.4483150,103.8009103,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Drive 60 (Blk 771),1,25/01/2019,1.4468451,103.7982164,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Drive 60 (Blk 778),6,25/01/2019,1.4474980,103.7994841,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Woodlands Drive 60 (Blk 786D),1,25/01/2019,1.4467543,103.8010235,Admiralty,0,0,0,0,26.7,29.7,24.7,15.8,45.4
Seagull Walk,8,25/01/2019,1.3462844,103.9644666,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Changi Road East (Cascadale),4,25/01/2019,1.3459940,103.9630500,Simei,0.2,0.2,0.2,0.2,—,—,—,—,—
Yishun Avenue 4 (Blk 861),2,25/01/2019,1.4173841,103.8396956,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Avenue 4 (Blk 862),3,25/01/2019,1.4171663,103.8393332,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Avenue 4 (Blk 864),1,25/01/2019,1.4165784,103.8395144,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 61 (Blk 634),1,25/01/2019,1.4189945,103.8392812,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Yishun Street 61 (Blk 635),1,25/01/2019,1.4192320,103.8387090,Khatib,0.2,0.2,0.2,0.2,27.3,31.6,24.2,11.9,37.1
Kwong Avenue,1,25/01/2019,1.3306439,103.8710724,Toa Payoh,0.4,0.4,0.4,0.4,—,—,—,—,—
MacPherson Road,1,25/01/2019,1.3312078,103.8789855,Toa Payoh,0.4,0.4,0.4,0.4,—,—,—,—,—
Puay Hee Avenue,1,25/01/2019,1.3316698,103.8711799,Toa Payoh,0.4,0.4,0.4,0.4,—,—,—,—,—
